"UID","Date","country_name","ISO3","Confirmed","Recovered","Deaths"
"469","1/24/2020","Libya","LBY","0","0","0"
"470","1/24/2020","Liechtenstein","LIE","0","0","0"
"471","1/24/2020","Lithuania","LTU","0","0","0"
"472","1/24/2020","Luxembourg","LUX","0","0","0"
"473","1/24/2020","MS Zaandam",,"0","0","0"
"474","1/24/2020","Madagascar","MDG","0","0","0"
"475","1/24/2020","Malawi","MWI","0","0","0"
"476","1/24/2020","Malaysia","MYS","0","0","0"
"477","1/24/2020","Maldives","MDV","0","0","0"
"478","1/24/2020","Mali","MLI","0","0","0"
"479","1/24/2020","Malta","MLT","0","0","0"
"480","1/24/2020","Mauritania","MRT","0","0","0"
"481","1/24/2020","Mauritius","MUS","0","0","0"
"482","1/24/2020","Mexico","MEX","0","0","0"
"483","1/24/2020","Moldova","MDA","0","0","0"
"484","1/24/2020","Monaco","MCO","0","0","0"
"485","1/24/2020","Mongolia","MNG","0","0","0"
"486","1/24/2020","Montenegro","MNE","0","0","0"
"487","1/24/2020","Morocco","MAR","0","0","0"
"488","1/24/2020","Mozambique","MOZ","0","0","0"
"489","1/24/2020","Namibia","NAM","0","0","0"
"490","1/24/2020","Nepal","NPL","0","0","0"
"491","1/24/2020","Netherlands","NLD","0","0","0"
"492","1/24/2020","New Zealand","NZL","0","0","0"
"493","1/24/2020","Nicaragua","NIC","0","0","0"
"494","1/24/2020","Niger","NER","0","0","0"
"495","1/24/2020","Nigeria","NGA","0","0","0"
"496","1/24/2020","North Macedonia","MKD","0","0","0"
"497","1/24/2020","Norway","NOR","0","0","0"
"498","1/24/2020","Oman","OMN","0","0","0"
"499","1/24/2020","Pakistan","PAK","0","0","0"
"500","1/24/2020","Panama","PAN","0","0","0"
"501","1/24/2020","Papua New Guinea","PNG","0","0","0"
"502","1/24/2020","Paraguay","PRY","0","0","0"
"503","1/24/2020","Peru","PER","0","0","0"
"504","1/24/2020","Philippines","PHL","0","0","0"
"505","1/24/2020","Poland","POL","0","0","0"
"506","1/24/2020","Portugal","PRT","0","0","0"
"507","1/24/2020","Qatar","QAT","0","0","0"
"508","1/24/2020","Romania","ROU","0","0","0"
"509","1/24/2020","Russia","RUS","0","0","0"
"510","1/24/2020","Rwanda","RWA","0","0","0"
"511","1/24/2020","Saint Kitts and Nevis","KNA","0","0","0"
"512","1/24/2020","Saint Lucia","LCA","0","0","0"
"513","1/24/2020","Saint Vincent and the Grenadines","VCT","0","0","0"
"514","1/24/2020","San Marino","SMR","0","0","0"
"515","1/24/2020","Sao Tome and Principe","STP","0","0","0"
